Libellé Fonction,Sous-fonction,Libellé sous-fonction,Article,Bénéficiaire,Budget de l'année,Libellé article
Culture,311.4,Expression musicale,6574,GIP CAFES CULTURELS,15000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,512.2,Actions de prévention sanitaire,6574,L'Antre Deux,12100,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,MOUVEMENT DE LA PAIX BRETAGNE ET GRAND OUEST,5000,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,OCCE - Réseau Réussite Scolaire Bréquigny,1500,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,512.2,Actions de prévention sanitaire,6574,Provision pour diverses actions liées à la santé,27536,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,Provision pour Fonds Rennais d'Initiatives Jeunes,40000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,PROVISION JEUNES ADULTES QUARTIERS,48000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,LEO LAGRANGE OUEST - COORDINATION,77600,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574.02,Les Trois Maisons (fonctionnement pôle multimédia),5000,Subvention fonct. - Nouvelles technologies
Culture,33.1,Autres actions artistiques et culturelles,6574,Les Ateliers du vent,100000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Maison du Cyclisme,3184,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Union Départementale des Associations Familiales d'Ille-et-Vilaine (UDAF),10000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.4,Expression musicale,6574,Triangle,1012844,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,RUE DES LIVRES,115850,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Fédération Régionale des MJC,257568,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,CPB - HANDBALL GARCONS,30000,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,OCCE Réseau de Réussite Scolaire Maurepas,1500,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,MERLINPINPIN - COORDINATION,5000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,Association Art Recherche Technique (ART),19902,Subv. fonct. aux associat.et autres personnes droit privé
Culture,313.1,Activités théâtrales,6574,Association Lillico,206000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.4,Expression musicale,6574,Centre Chorégraphique National de Rennes et de Bretagne (CCNRB),479100,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,520.1,Centre communal d'action sociale,657362,Centre Communal d'Action Sociale (CCAS),12117825,Sub.fonc.aux org.pub.-Etab.& serv.ratt.-CCAS
Culture,311.4,Expression musicale,6574,Centre de production des Paroles Contemporaines,76900,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Comité  jumelage  Rennes-Cork,1066,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,512.2,Actions de prévention sanitaire,6574,Conseil départemental de protection animale d'Ille-et-Vilaine,800,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,CPB VOLLEY FILLES,5000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,Diwan Bro Roazhon,55900,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.3,Autres actions en faveur de l'enfance,6574,Eclaireuses et Eclaireurs de France,35000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,65738,ECOLE HAUTES ETUDES SANTE PUBLIQUE,5000,Subv.de fonct. aux autres organismes publics
Enseignement et formation,255.15,Oeuvres  scolaires,6574,Fédération des Conseils de Parents d'Elèves des Ecoles Publiques (FCPE),2818,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,LA TOUR D AUVERGNE,449676,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,Le Bon Accueil,25000,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Provision - Aides pour projets à caractère international,24621,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,Provision Jeunes en projets,55000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,Provision - Loisirs d'été pour les jeunes,50000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Provision pour manifestations sportives,87000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Régates Rennaises,4070,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Rennes Pôle Associations (ex. Rennes Patros Associations),179013,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,512.2,Actions de prévention sanitaire,6574,Réseau Louis Guilloux,18700,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,523.1,Actions en faveur des personnes en difficulté,6574,Secours Populaire Français - Fédération Ille et Vilaine,16000,Subv. fonct. aux associat.et autres personnes droit privé
Action économique,94.3,Consommation - diverses actions,6574,MCE - Commission du réglement des litiges de la consommation,9272,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Association Europe - Rennes 35,1066,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.15,Egalité des droits et diversité,6574,Association Ar Maure,5636,Subv. fonct. aux associat.et autres personnes droit privé
